model,fold,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0,0.9416,0.9947,0.9483,0.9416,0.942,0.9366
Logistic Regression,1,0.9197,0.9972,0.9282,0.9197,0.9213,0.9126
Logistic Regression,2,0.9124,0.9904,0.9134,0.9124,0.9093,0.9051
Logistic Regression,3,0.9632,0.9978,0.9672,0.9632,0.9633,0.9602
Logistic Regression,4,0.9338,0.9972,0.9386,0.9338,0.9339,0.9279
Logistic Regression,5,0.927,0.9957,0.9343,0.927,0.9271,0.9209
Logistic Regression,6,0.8978,0.9933,0.8986,0.8978,0.897,0.8883
Logistic Regression,7,0.9343,0.9967,0.9429,0.9343,0.9344,0.9292
Logistic Regression,8,0.9559,0.9971,0.9595,0.9559,0.9551,0.9522
Logistic Regression,9,0.9265,0.9946,0.9537,0.9265,0.9298,0.9221
Logistic Regression,10,0.9197,0.9948,0.9278,0.9197,0.9168,0.9137
Logistic Regression,11,0.9562,0.9974,0.9625,0.9562,0.9544,0.9532
Logistic Regression,12,0.9197,0.9954,0.9292,0.9197,0.9199,0.9133
Logistic Regression,13,0.9485,0.9961,0.9537,0.9485,0.9493,0.9438
Logistic Regression,14,0.875,0.9924,0.9011,0.875,0.8704,0.8684
Decision Tree,0,0.9124,0.9498,0.8951,0.9124,0.903,0.9043
Decision Tree,1,0.9051,0.9467,0.9193,0.9051,0.9075,0.8975
Decision Tree,2,0.9051,0.9453,0.9116,0.9051,0.9069,0.8962
Decision Tree,3,0.9412,0.9669,0.9473,0.9412,0.9416,0.9357
Decision Tree,4,0.9044,0.9457,0.9114,0.9044,0.8986,0.8957
Decision Tree,5,0.9124,0.9505,0.924,0.9124,0.9131,0.9056
Decision Tree,6,0.9124,0.9496,0.9161,0.9124,0.913,0.9043
Decision Tree,7,0.9343,0.963,0.937,0.9343,0.933,0.9282
Decision Tree,8,0.9412,0.9658,0.9436,0.9412,0.9399,0.9361
Decision Tree,9,0.9118,0.9499,0.9165,0.9118,0.9122,0.9037
Decision Tree,10,0.927,0.9584,0.9313,0.927,0.9254,0.9209
Decision Tree,11,0.927,0.958,0.928,0.927,0.9262,0.9203
Decision Tree,12,0.9051,0.9462,0.9145,0.9051,0.906,0.8972
Decision Tree,13,0.9191,0.9537,0.9257,0.9191,0.9169,0.9126
Decision Tree,14,0.9191,0.9537,0.9244,0.9191,0.9177,0.9122
kNN,0,0.9197,0.9953,0.928,0.9197,0.9196,0.9134
kNN,1,0.9124,0.986,0.9162,0.9124,0.9127,0.9045
kNN,2,0.8978,0.9865,0.9047,0.8978,0.8966,0.889
kNN,3,0.9338,0.9887,0.9387,0.9338,0.9333,0.9281
kNN,4,0.8824,0.9935,0.8851,0.8824,0.8761,0.8714
kNN,5,0.9562,0.9927,0.9613,0.9562,0.9568,0.9526
kNN,6,0.8832,0.9919,0.8902,0.8832,0.8786,0.8724
kNN,7,0.927,0.9884,0.9319,0.927,0.9263,0.9208
kNN,8,0.9191,0.992,0.9302,0.9191,0.9131,0.9127
kNN,9,0.9044,0.9898,0.9265,0.9044,0.9046,0.8986
kNN,10,0.8978,0.9892,0.9199,0.8978,0.8912,0.8905
kNN,11,0.9051,0.9922,0.9211,0.9051,0.9005,0.8978
kNN,12,0.9416,0.9935,0.9468,0.9416,0.9415,0.9365
kNN,13,0.9265,0.9945,0.9318,0.9265,0.9271,0.9197
kNN,14,0.8824,0.9716,0.908,0.8824,0.8808,0.876
Naive Bayes,0,0.927,0.9885,0.9368,0.927,0.9254,0.9218
Naive Bayes,1,0.9416,0.9927,0.9589,0.9416,0.9432,0.938
Naive Bayes,2,0.927,0.9793,0.9383,0.927,0.9245,0.922
Naive Bayes,3,0.9706,0.9963,0.9727,0.9706,0.9704,0.9681
Naive Bayes,4,0.9485,0.9963,0.9576,0.9485,0.9486,0.9447
Naive Bayes,5,0.9416,0.9905,0.9511,0.9416,0.9412,0.9374
Naive Bayes,6,0.9489,0.9894,0.9555,0.9489,0.948,0.9452
Naive Bayes,7,0.9197,0.9818,0.9291,0.9197,0.9168,0.913
Naive Bayes,8,0.9559,0.9942,0.9614,0.9559,0.9552,0.9527
Naive Bayes,9,0.9265,0.9915,0.9431,0.9265,0.9254,0.9219
Naive Bayes,10,0.9416,0.9874,0.9547,0.9416,0.9403,0.9382
Naive Bayes,11,0.9635,0.9961,0.9703,0.9635,0.9624,0.9612
Naive Bayes,12,0.9489,0.9906,0.9503,0.9489,0.9484,0.9444
Naive Bayes,13,0.9485,0.9952,0.9598,0.9485,0.9499,0.9447
Naive Bayes,14,0.9265,0.9906,0.9298,0.9265,0.9236,0.9209
Random Forest (Ensemble),0,0.9197,0.9962,0.9266,0.9197,0.9177,0.9136
Random Forest (Ensemble),1,0.9343,0.9955,0.9448,0.9343,0.9362,0.9289
Random Forest (Ensemble),2,0.9051,0.9917,0.9104,0.9051,0.9019,0.8975
Random Forest (Ensemble),3,0.9485,0.9978,0.9525,0.9485,0.9487,0.944
Random Forest (Ensemble),4,0.9485,0.9977,0.9489,0.9485,0.9481,0.9436
Random Forest (Ensemble),5,0.9416,0.9974,0.9456,0.9416,0.9423,0.9364
Random Forest (Ensemble),6,0.9051,0.9936,0.907,0.9051,0.9059,0.8961
Random Forest (Ensemble),7,0.9343,0.9979,0.9354,0.9343,0.9342,0.9282
Random Forest (Ensemble),8,0.9412,0.9965,0.9462,0.9412,0.9403,0.9363
Random Forest (Ensemble),9,0.9265,0.9974,0.9381,0.9265,0.9236,0.9216
Random Forest (Ensemble),10,0.9416,0.996,0.9532,0.9416,0.9402,0.9379
Random Forest (Ensemble),11,0.9416,0.9971,0.9469,0.9416,0.9395,0.9372
Random Forest (Ensemble),12,0.9489,0.998,0.9527,0.9489,0.9492,0.9445
Random Forest (Ensemble),13,0.9559,0.9971,0.9576,0.9559,0.9561,0.9517
